n_imgs,has_target,n_det,in_sidewalk_any,in_bike_lane_any,in_roadway_any,dominant_space,wrong_way,direction,cos_to_flow,event_id
3,True,1.0,True,False,False,sidewalk,,,,0
14,False,,,,,,,,,1
1,True,2.0,True,False,False,sidewalk,,,,2
2,False,,,,,,,,,3
2,True,1.0,True,False,False,sidewalk,,,,4
1,True,1.0,True,False,False,sidewalk,,,,5
1,True,1.0,False,True,False,bike_lane,,,,6
2,False,,,,,,,,,7
1,False,,,,,,,,,8
4,True,2.0,False,True,False,bike_lane,,,,9
5,True,1.0,True,False,False,sidewalk,,,,10
1,False,,,,,,,,,11
1,False,,,,,,,,,12
2,False,,,,,,,,,13
4,False,,,,,,,,,14
1,False,,,,,,,,,15
3,True,1.0,True,False,False,sidewalk,,,,16
2,True,5.0,True,False,False,sidewalk,,,,17
3,False,,,,,,,,,18
1,True,1.0,True,False,False,sidewalk,,,,19
1,True,1.0,True,False,False,sidewalk,,,,20
1,True,2.0,True,False,False,sidewalk,,,,21
1,False,,,,,,,,,22
1,True,1.0,False,True,False,bike_lane,,,,23
1,False,,,,,,,,,24
2,True,1.0,False,True,False,bike_lane,,,,25
2,False,,,,,,,,,26
2,False,,,,,,,,,27
2,False,,,,,,,,,28
6,True,6.0,True,True,False,sidewalk,True,against_flow,-0.9982715672113756,29
4,False,,,,,,,,,30
4,False,,,,,,,,,31
4,False,,,,,,,,,32
4,False,,,,,,,,,33
1,True,2.0,True,False,False,sidewalk,,,,34
