img,frame_global,x1,y1,x2,y2,score,cls
IM_00100.JPG,0,1129.0469970703125,494.3932800292969,1340.3994140625,703.547607421875,0.8477461934089661,1
IM_00101.JPG,1,836.432373046875,470.3050231933594,1107.9180908203125,749.7220458984375,0.8168501257896423,1
IM_00103.JPG,3,894.8226928710938,492.4317626953125,1184.345703125,723.3101806640625,0.757120668888092,1
IM_00182.JPG,8,929.0267944335938,516.3630981445312,1317.1171875,883.316162109375,0.8808774352073669,1
IM_00183.JPG,9,0.07117080688476562,710.3146362304688,127.1586685180664,1028.93212890625,0.5445899963378906,1
IM_00190.JPG,10,996.6043701171875,505.4073486328125,1219.653564453125,718.8817749023438,0.7660773396492004,1
IM_00191.JPG,11,270.5596923828125,466.3534240722656,725.4791259765625,822.4180908203125,0.8993678689002991,1
IM_00270.JPG,14,212.05517578125,505.81512451171875,581.2294921875,765.5007934570312,0.33223971724510193,1
IM_00300.JPG,27,530.7764282226562,481.152099609375,901.8217163085938,768.2996826171875,0.9227096438407898,1
IM_00320.JPG,34,1071.8541259765625,468.06488037109375,1270.38232421875,694.5247802734375,0.8415862917900085,1
IM_00321.JPG,35,1583.31201171875,482.37066650390625,1648.260009765625,600.7421875,0.5708355903625488,1
IM_00322.JPG,36,973.8306884765625,468.96246337890625,1216.103271484375,718.0536499023438,0.8047618865966797,1
IM_00386.JPG,39,109.52330017089844,472.70965576171875,598.9652099609375,804.2926025390625,0.9026521444320679,1
IM_00387.JPG,40,934.763671875,497.7174072265625,1188.652587890625,719.2696533203125,0.8482462763786316,1
IM_00400.JPG,43,1228.2462158203125,530.6028442382812,1354.721923828125,751.9361572265625,0.5618678331375122,1
IM_00401.JPG,44,438.9985656738281,587.0261840820312,983.4395141601562,1017.400634765625,0.8184080719947815,1
